iter	Logloss
0	0.6575066235
1	0.6261112538
2	0.6017610118
3	0.5854765843
4	0.5738265192
5	0.5649437858
6	0.5537490563
7	0.5469634673
8	0.5413257495
9	0.53644345
10	0.5311379367
11	0.5256465086
12	0.5216827357
13	0.5187154293
14	0.5162333548
15	0.5130395376
16	0.5112969516
17	0.5094694269
18	0.5078831169
19	0.5065237964
20	0.5052263971
21	0.5040370427
22	0.5032704809
23	0.5022868314
24	0.501150909
25	0.4999090577
26	0.4990852056
27	0.498548657
28	0.4982411549
29	0.4976974649
30	0.4971894656
31	0.4966757296
32	0.4962339834
33	0.495793856
34	0.4954112482
35	0.4950585393
36	0.4946979924
37	0.494027183
38	0.4937884122
39	0.4931092241
40	0.4928970622
41	0.4927374514
42	0.4924846783
43	0.4923766536
44	0.4917565268
45	0.4916752534
46	0.4914937563
47	0.4912621784
48	0.4911441859
49	0.4910348835
50	0.49091216
51	0.4907543729
52	0.4904316275
53	0.4903562963
54	0.4902044118
55	0.4901067468
56	0.4900249261
57	0.4899445412
58	0.4898634704
59	0.4897826594
60	0.4896897879
61	0.4896288815
62	0.489552607
63	0.4894819276
64	0.4894257078
65	0.4890725953
66	0.4888538698
67	0.4886324694
68	0.4885659992
69	0.4884947359
70	0.4884460039
71	0.4883668331
72	0.4882992323
73	0.4882613278
74	0.4881933339
75	0.4881545768
76	0.4880825201
77	0.4880166615
78	0.4879674637
79	0.4878144508
80	0.487753052
81	0.4876829298
82	0.4876300665
83	0.4875841899
84	0.4875295821
85	0.4874755256
86	0.4874499548
87	0.4874119888
88	0.4873550681
89	0.4873197636
90	0.4872860242
91	0.4872530856
92	0.4871940728
93	0.4871687514
94	0.487124116
95	0.4871205002
96	0.4871151508
97	0.4870786815
98	0.4870518776
99	0.4870070602
100	0.4869980885
101	0.4869286606
102	0.4869162853
103	0.4868579047
104	0.4868489376
105	0.4868161861
106	0.4867586478
107	0.4867304358
108	0.4867053979
109	0.4866605083
110	0.4866414596
111	0.4866254259
112	0.4866066937
113	0.4865210187
114	0.4865003698
115	0.486473743
116	0.4864419368
117	0.4864049743
118	0.486377568
119	0.486334425
120	0.4863087584
121	0.4862744187
122	0.4862125939
123	0.4861655561
124	0.4861455576
125	0.4860705045
126	0.486051545
127	0.4860283575
128	0.4859848821
129	0.4859674102
130	0.4859497913
131	0.485911294
132	0.4859006856
133	0.4858711224
134	0.4858607965
135	0.4858266576
136	0.4858092601
137	0.4857658046
138	0.4857433817
139	0.4857273298
140	0.4856971726
141	0.4856895737
142	0.4856544137
143	0.4856203855
144	0.4855853986
145	0.4855777519
146	0.4855537565
147	0.4854880172
148	0.4854755652
149	0.4854596572
150	0.4854421838
151	0.4854121377
152	0.4853965294
153	0.4853628053
154	0.485346676
155	0.4853344477
156	0.4853106174
157	0.4852856324
158	0.4852710606
159	0.4852664618
160	0.4852280969
161	0.4852048461
162	0.4851940791
163	0.4851796724
164	0.4851583957
165	0.4851562496
166	0.4851332066
167	0.4851276177
168	0.4851003345
169	0.4850707003
170	0.4850354247
171	0.4849994308
172	0.4849776501
173	0.4849644995
174	0.4849465269
175	0.4849458681
176	0.4849006408
177	0.4848770746
178	0.484838504
179	0.4848156619
180	0.4847851875
181	0.4847531559
182	0.4847132878
183	0.4846998999
184	0.4846831857
185	0.4846578685
186	0.4846363168
187	0.4846154209
188	0.4846006778
189	0.4845848008
190	0.484565152
191	0.4845193687
192	0.4844928629
193	0.484474272
194	0.4844517382
195	0.4844360474
196	0.484406553
197	0.4843884508
198	0.4843637354
199	0.4843293566
200	0.4843073578
201	0.4843062574
202	0.4842798974
203	0.4842683146
204	0.4842553918
205	0.4842414406
206	0.4842349481
207	0.4842300626
208	0.4842141658
209	0.4842072013
210	0.4841741948
211	0.4841531838
212	0.4841434603
213	0.4841079841
214	0.4840628656
215	0.4840558777
216	0.4840166894
217	0.4840038887
218	0.4839879903
219	0.4839850828
220	0.4839602268
221	0.4839356326
222	0.4839206967
223	0.4838939262
224	0.4838806577
225	0.4838622347
226	0.4838375871
227	0.4838193718
228	0.4838149783
229	0.4837845988
230	0.4837497955
231	0.4837367578
232	0.4837033574
233	0.4836903138
234	0.4836793513
235	0.4836658234
236	0.4836476506
237	0.4836252836
238	0.4836153713
239	0.4836095728
240	0.4836054823
241	0.4835927721
242	0.4835870594
243	0.4835719304
244	0.4835424776
245	0.4835299601
246	0.4835034472
247	0.4834890326
248	0.4834843088
249	0.4834685258
250	0.4834461352
251	0.4834318183
252	0.4834001546
253	0.483383973
254	0.4833433087
255	0.4833288057
256	0.4833211101
257	0.4833134203
258	0.4833065439
259	0.4832705998
260	0.4832416772
261	0.4832178456
262	0.4832078806
263	0.4831977659
264	0.4831792874
265	0.4831782854
