iter	Passed	Remaining
0	189	567083
1	486	729152
2	701	701103
3	852	638411
4	1058	633799
5	1250	623821
6	1408	602180
7	1667	623676
8	1875	623157
9	2041	610518
10	2252	612087
11	2454	611205
12	2661	611569
13	2857	609358
14	3013	599761
15	3193	595581
16	3359	589460
17	3527	584440
18	3740	586936
19	3902	581465
20	4103	582061
21	4277	579043
22	4439	574590
23	4597	570076
24	4776	568354
25	4946	565799
26	5123	564169
27	5317	564420
28	5569	570551
29	5748	569148
30	5939	568867
31	6133	568909
32	6326	568825
33	6526	569340
34	6722	569528
35	6904	568449
36	7072	566379
37	7234	563907
38	7410	562609
39	7592	561811
40	7756	559823
41	7952	560097
42	8125	558752
43	8283	556522
44	8454	555182
45	8569	550310
46	8762	550566
47	8958	550963
48	9136	550257
49	9347	551518
50	9535	551349
51	9733	551820
52	9952	553380
53	10152	553882
54	10337	553549
55	10541	554161
56	10709	552965
57	10886	552233
58	11066	551620
59	11270	552237
60	11491	553660
61	11719	555337
62	11912	555364
63	12124	556197
64	12320	556323
65	12549	557879
66	12765	558837
67	12980	559668
68	13182	559967
69	13364	559395
70	13575	560033
71	13801	561245
72	13996	561217
73	14191	561141
74	14411	562066
75	14645	563454
76	14861	564168
77	15083	565045
78	15269	564581
79	15487	565311
80	15658	564271
81	15861	564428
82	16060	564454
83	16271	564845
84	16442	563880
85	16631	563541
86	16840	563863
87	17048	564157
88	17235	563743
89	17442	563969
90	17620	563288
91	17845	564079
92	18057	564447
93	18265	564679
94	18433	563685
95	18514	560078
96	18600	556680
97	18807	556925
98	19021	557386
99	19256	558440
100	19457	558487
101	19705	559861
102	19948	561089
103	20153	561187
104	20357	561273
105	20561	561371
106	20742	560825
107	20958	561226
108	21139	560690
109	21354	561041
110	21585	561814
111	21770	561371
112	21980	561565
113	22204	562130
114	22420	562464
115	22639	562855
116	22844	562908
117	23051	563007
118	23283	563687
119	23440	562581
120	23640	562495
121	23850	562642
122	24099	563694
123	24331	564333
124	24556	564793
125	24794	565545
126	24963	564720
127	25168	564724
128	25324	563606
129	25533	563693
130	25802	565090
131	26021	565386
132	26221	565242
133	26436	565432
134	26612	564784
135	26841	565257
136	27041	565101
137	27216	564450
138	27420	564393
139	27622	564291
140	27826	564235
141	28028	564114
142	28248	564370
143	28466	564586
144	28675	564605
145	28899	564918
146	29091	564604
147	29276	564166
148	29487	564226
149	29695	564221
150	29905	564235
151	30101	564000
152	30307	563963
153	30526	564148
154	30748	564377
155	30966	564551
156	31191	564829
157	31407	564934
158	31601	564648
159	31729	563198
160	31899	562493
161	32125	562795
162	32361	563248
163	32582	563432
164	32795	563491
165	32888	561476
166	33084	561250
167	33295	561272
168	33507	561299
169	33729	561503
170	33942	561531
171	34187	562109
172	34411	562322
173	34620	562280
174	34837	562370
175	34901	560014
176	35064	559245
177	35232	558576
178	35452	558723
179	35689	559142
180	35882	558857
181	36094	558862
182	36304	558844
183	36516	558854
184	36720	558741
185	36961	559185
186	37210	559749
187	37385	559187
188	37587	559039
189	37788	558873
190	38006	558954
191	38192	558562
192	38413	558688
193	38629	558731
194	38800	558130
195	38995	557880
196	39195	557696
197	39430	558005
198	39635	557889
199	39826	557565
200	40033	557484
201	40127	555825
202	40313	555454
203	40523	555415
204	40708	555024
205	40892	554630
206	41084	554341
207	41278	554082
208	41490	554068
209	41720	554289
210	41941	554387
211	42170	554582
212	42379	554517
213	42563	554125
214	42766	553975
215	42980	553972
216	43188	553891
217	43415	554047
218	43611	553812
219	43812	553629
220	44012	553438
221	44223	553385
222	44463	553703
223	44653	553380
224	44857	553244
225	45074	553261
226	45298	553364
227	45500	553192
228	45692	552896
229	45870	552437
230	46090	552483
231	46292	552320
232	46509	552329
233	46741	552502
234	46976	552721
235	47199	552793
236	47423	552868
237	47611	552534
238	47812	552344
239	48020	552241
240	48233	552180
241	48466	552356
242	48692	552446
